field1,field2,field3,field4,field5,field6,_GC_TYPE,_X,_Y
서울교통공사,3호선,양재(서초구청),서울특별시 서초구 서초동 1366-9,서울특별시 서초구 남부순환로 지하 2585,,정,127.03454423954008,37.48393546647244
서울교통공사,3호선,고속터미널,서울특별시 서초구 반포동 19-11,서울특별시 서초구 신반포로 지하 188,,정,127.00444241077146,37.50464704802712
코레일,4호선,경마공원,경기도 과천시 과천동 654,경기도 과천시 경마공원대로 지하 105,,정,127.00805503304828,37.44414741654414
코레일,4호선,대공원,경기도 과천시 과천동 727-1,경기도 과천시 대공원대로 지하50,,정,127.00556406554323,37.43573357750599
서울교통공사,3호선,일원,서울특별시 강남구 일원동 717,서울특별시 강남구 일원로 지하 121,,정,127.08445146828495,37.48407286677673
서울교통공사,3호선,대청,서울특별시 강남구 대치동 514-3,서울특별시 강남구 일원로 지하 2,,정,127.07949405845838,37.493722434268875
서울교통공사,3호선,경찰병원,서울특별시 송파구 가락동 10-15,서울특별시 송파구 중대로 지하 149,,정,127.12406707557606,37.49560239583098
코레일,4호선,수리산,경기도 군포시 산본동 1231-1,경기도 군포시 번영로 385,,정,126.9254903146848,37.350128841868525
서울교통공사,3호선,수서,서울특별시 강남구 수서동 728,서울특별시 강남구 광평로 지하 270,,정,127.10186017203822,37.48739034020959
서울교통공사,3호선,오금,서울특별시 송파구 오금동 44-2,서울특별시 송파구 오금로 지하 321,,정,127.12787978010067,37.50226651767043
서울교통공사,3호선,가락시장,서울특별시 송파구 가락동 184-23,서울특별시 송파구 송파대로 지하 257,,정,127.1184857624921,37.492743409004625
코레일,4호선,과천,경기도 과천시 별양동 2,경기도 과천시 별양로 지하177,,정,126.99745760258004,37.43345408338402
코레일,4호선,대야미,경기도 군포시 대야미동 229-1,경기도 군포시 대야1로 28,,정,126.91717940695129,37.3283282266882
코레일,4호선,금정,경기도 군포시 금정동 613,경기도 군포시 군포로 750,,정,126.94338745767249,37.37228821811667
